title,num,link,time
教研成果-中山大学南方学院,4,http://www.nfu.edu.cn/index.php/home/article/index/cid/11.html,
媒体南方-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/index/cid/19.html,
学校要闻-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/index/cid/15.html,
学校简介-中山大学南方学院,3,http://www.nfu.edu.cn/index.php/home/article/index/cid/29.html,
学术顾问-中山大学南方学院,6,http://www.nfu.edu.cn/index.php/home/article/index/cid/31.html,
讲座教授-中山大学南方学院,14,http://www.nfu.edu.cn/index.php/home/article/index/cid/131.html,
学术顾问-中山大学南方学院,6,http://www.nfu.edu.cn/index.php/home/article/index/cid/130.html,
教育部新世纪优秀人才-中山大学南方学院,4,http://www.nfu.edu.cn/index.php/home/article/index/cid/132.html,
广东省南粤优秀教师-中山大学南方学院,4,http://www.nfu.edu.cn/index.php/home/article/index/cid/133.html,
珠江大学联盟-中山大学南方学院,9,http://www.nfu.edu.cn/index.php/home/article/index/cid/136.html,
学校简介-中山大学南方学院,3,http://www.nfu.edu.cn/index.php/home/article/index/cid/145.html,
2017喜讯-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/index/cid/167.html,
南方论坛系列讲座之八十四讲通知-中山大学南方学院,3,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/5.html,2016-03-08
南方论坛系列讲座之八十五讲通知-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/4.html,2016-03-23
《南方论坛》第87讲：引力波与天琴计划（叶贤基教授）-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/10.html,2016-04-25
《南方论坛》第86讲：大变动时代的图像叙事——晚清画报三十年（陈平原教授）-中山大学南方学院,6,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/6.html,2016-04-19
喜讯：文传系学子考研再创佳绩-中山大学南方学院,8,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/42.html,2016-04-26
喜讯：我院杨光烈副教授著作荣获“第八届中国会展经济研究优秀成果奖”三等奖-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/48.html,2016-04-25
解读晚清画报三十年——陈平原教授做客《南方论坛》第八十六讲-中山大学南方学院,5,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/54.html,2016-04-21
【广州日报】“广东要有七八所好大学才说得过去”-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/59.html,2016-04-22
【人民网】陈平原：不一定都要读本科 读个感兴趣的专科也好-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/60.html,2016-04-22
文长道永——龙协涛教授莅临我院开展学术交流活动-中山大学南方学院,16,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/80.html,2016-04-13
学院召开10周年校庆专题工作会议-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/93.html,2016-03-31
我院举行继续教育学院、国际学院成立大会-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/99.html,2016-03-16
“两会”精神与大学生的时代责任——喻世友院长开讲新学期思想政治“第一课”-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/103.html,2016-03-11
八年学雷锋，市民齐点赞-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/101.html,2016-03-13
